Store Number,Country,Ownership Type,Latitude,Longitude,Street Address,City,State/Province,Timezone,Year
26879-245951,HK,Licensed,22.385467,114.187778,"Shop 217, HomeSquare, 138 Shatin,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
22442-221224,HK,Licensed,22.298266,114.178378,"G39, G40-G41 on G/F, Empire Centre",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
59390-293624,HK,Licensed,22.292995,114.199348,"Shop G20, G/F, Harbour North",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34647-95348,HK,Licensed,22.30095,114.17288,Shop 107 L1 Mira Place One 132 Nathan Rd,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31372-107012,HK,Licensed,22.33718,114.14944,"G/F Cheung Sha Wan Plaza, 833 Cheung Sha",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
65295-299604,HK,Licensed,22.291954,114.195354,"21 -53 Wharf Road,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
23287-137113,HK,Licensed,22.299522,114.172586,2-6 Granville Rd,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
32157-218684,HK,Licensed,22.297329,114.176483,Shop Nos. G5 and G6 on G/F Mirror Tower,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
17868-186924,HK,Licensed,22.33464,114.14878,"Shop No.101, 1st Floor, Liberte Place, 8",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
53240-284367,HK,Licensed,22.290962,114.2026,"Shop 14&16, G/F, Island Place",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
17103-179445,HK,Licensed,22.291131,114.208106,"Shop No.1A, G/F, AIA Hong Kong Tower",Quarry Bay,91,GMT+08:00 Asia/Hong_Kong,2021
34601-20281,HK,Licensed,22.28394,114.15819,"Shops 308-310, 3/F.,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34622-64463,HK,Licensed,22.28445,114.15846,Concession HOK 3a & b,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
67143-301904,HK,Licensed,22.283433,114.157377,Connaught Rd C,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
22733-224529,HK,Licensed,22.284612,114.157381,"Office Lobby, G/F Exchange Square",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34607-131304,HK,Licensed,22.283015,114.159281,"Shop LG12-LG14, Lower G/F.,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
13020-151249,HK,Licensed,22.285492,114.158685,中環國際金融中心商場2樓2097-2098號舖,Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
32636-134915,HK,Licensed,22.28372,114.15612,"Shop No.112, Level One, Man Yee Arcade,",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
16712-167649,HK,Licensed,22.282465,114.156284,"Shop on 1/F, Prosperity Tower",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34644-94628,HK,Licensed,22.28152,114.15869,"Shop 201, 2/F, Alexandra House",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
15593-163265,HK,Licensed,22.285142,114.155854,"Shop B, Ground Floor",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
34630-69462,HK,Licensed,22.28113,114.15946,"Kiosk Nos. CEN K4-K5, Transfer Concourse",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31187-105744,HK,Licensed,22.28162,114.15598,"Shop A, Upper Ground Floor, Century Sq.",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
31373-106380,HK,Licensed,22.28651,114.16076,"Shop E, Central Pier 7 (Star Ferry), Man",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
1909-139865,HK,Licensed,22.27983,114.15669,"Shop M2, Mezzanine Floor, Baskerville",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
16021-297190,HK,Licensed,22.279489,114.160546,"1/F, West Hall, Bank of China Tower",Hong Kong,91,GMT+08:00 Asia/Hong_Kong,2021
